"","address","latitude","longitude"
"187","Badenerstrasse, 8003  Zürich, Switzerland",47.3756221,8.5164088
"188","Badenerstrasse, 8003  Zürich, Switzerland",47.3756221,8.5164088
"189","Badenerstrasse, 8003  Zürich, Switzerland",47.3756221,8.5164088
"190","Brinerstrasse 4, 8003  Zürich, Switzerland",47.36957585,8.51829734858064
"191","Weststrasse 175, 8003  Zürich, Switzerland",47.37418695,8.51762484450934
"192","Wuhrstrasse, 8003  Zürich, Switzerland",47.3684537,8.5199966
"193","Dubsstrasse 30, 8003  Zürich, Switzerland",47.3675771,8.52169105409163
"194","Aemtlerstrasse 160, 8003  Zürich, Switzerland",47.3764203,8.5101778
"195","Goldbrunnenstrasse, 8003  Zürich, Switzerland",47.3698602,8.513618
"196","Dubsstrasse 30, 8003  Zürich, Switzerland",47.3675771,8.52169105409163
"197","Weststrasse 55, 8003  Zürich, Switzerland",47.37037235,8.52226477859395
"198","Idastrasse 3, 8003  Zürich, Switzerland",47.37209035,8.51609828838817
"199","Zelgstrasse 19, 8003  Zürich, Switzerland",47.3676597,8.52189177531447
"200","Bremgartnerstrasse 30, 8003  Zürich, Switzerland",47.37154995,8.51899154998261
"201","Zentralstrasse 53, 8003  Zürich, Switzerland",47.37211575,8.51883714482044
"202","Stationsstrasse 6, 8003  Zürich, Switzerland",47.3729693,8.51982448706733
"203","Albisriederstrasse 20, 8003  Zürich, Switzerland",47.3781605,8.5083520246504
"204","Zelgstrasse 19, 8003  Zürich, Switzerland",47.3676597,8.52189177531447
"205","Zelgstrasse 19, 8003  Zürich, Switzerland",47.3676597,8.52189177531447
"206","Zentralstrasse 133, 8003  Zürich, Switzerland",47.37514845,8.5151020567975
"207","Zelgstrasse 19, 8003  Zürich, Switzerland",47.3676597,8.52189177531447
"208","8003  Zürich, Switzerland",47.3728302719789,8.51559449582855
"209","8003  Zürich, Switzerland",47.3728302719789,8.51559449582855
"210","Bertastrasse 74, 8003  Zürich, Switzerland",47.3724139,8.51055312069194
"211","Rotachstrasse 27, 8003  Zürich, Switzerland",47.3703718,8.5153437
"212","Gertrudstrasse 22, 8003  Zürich, Switzerland",47.37407,8.51603332378805
"213","Zelgstrasse 19, 8003  Zürich, Switzerland",47.3676597,8.52189177531447
"214","Zelgstrasse 19, 8003  Zürich, Switzerland",47.3676597,8.52189177531447
"215","Rotachstrasse 17, 8003  Zürich, Switzerland",47.36972385,8.51608501123897
"216","Kalkbreitestrasse 41, 8003  Zürich, Switzerland",47.37331085,8.51944630925378
"217","Aemtlerstrasse 86, 8003  Zürich, Switzerland",47.3737738,8.5138059
"218","Aemtlerstrasse 86, 8003  Zürich, Switzerland",47.3737738,8.5138059
"219","Rotachstrasse 17, 8003  Zürich, Switzerland",47.36972385,8.51608501123897
"220","Rotachstrasse 20, 8003  Zürich, Switzerland",47.3701625,8.51658155
